Id,Count,Named,Original
 1jahrnurblockiert,166,unamed, 1jahrnurblockiert
verfassungsschutz,166,unamed,verfassungsschutz
klimachallenge,166,FFF DE,klima
horstseehufer,166,unamed,horstseehufer
nachtzug,166,unamed,nachtzug
 olympiastadion,166,unamed, olympiastadion
quaschning2go,166,unamed,quaschning2go
animals,166,unamed,animals
noemptypromises,166,unamed,noemptypromises
 yemen,165,unamed, yemen
 solarpower,165,unamed, solarpower
 allefürsklima,165,FFF DE,klima
 by2020weriseup,165,unamed, by2020weriseup
studiom,165,unamed,studiom
schüler,165,unamed,schüler
drawing,164,unamed,drawing
australiens,164,unamed,australiens
erdöl,164,unamed,erdöl
fluechtlinge,164,unamed,fluechtlinge
energieforscher,164,unamed,energieforscher
oesterrreich,164,unamed,oesterrreich
klimafolgekosten,164,FFF DE,klima
dänemark,164,unamed,dänemark
hitzetote,164,unamed,hitzetote
 bmw,164,unamed, bmw
 covid_19,163,Covid,covid_19
lockdown,163,unamed,lockdown
wdr,163,unamed,wdr
savebugomaforest,162,unamed,savebugomaforest
climatetwitter,162,#FridayForFuture,climate
grossekohlekoalition,162,unamed,grossekohlekoalition
wasserstoff,162,unamed,wasserstoff
sydney,162,unamed,sydney
bundespräsident,162,unamed,bundespräsident
kohlestrom,162,unamed,kohlestrom
protestschildderwoche,162,unamed,protestschildderwoche
dresden,162,unamed,dresden
 solarenergy,161,unamed, solarenergy
 clmatecrisis,161,unamed, clmatecrisis
allesfuersklima,161,FFF DE,klima
 windkraftausbau,161,FFF DE,windkraft
 usa,160,unamed, usa
 polluting,160,unamed, polluting
polizei,160,unamed,polizei
 monitor,160,unamed, monitor
aachen,160,unamed,aachen
antisemitismus,160,unamed,antisemitismus
satire,160,unamed,satire
freepalestine,160,unamed,freepalestine
 germany,159,unamed, germany
 islands,159,unamed, islands
herrenwald,159,unamed,herrenwald
art,159,unamed,art
zdf,159,unamed,zdf
 bäume,159,unamed, bäume
scientistsforfuture,159,unamed,scientistsforfuture
 buildings,158,unamed, buildings
letrussiastrikeforclimate,158,#FridayForFuture,climate
 klimakabinett,158,FFF DE,klima
